imdb_title_id,original_title,release_year,genre,duration,country,content_rating,director,income,votes,score
tt0111161,The Shawshank Redemption,1995,drama,142,Usa,R,Frank Darabont,28815245,2278845,9.3
tt0068646,The Godfather,1972,"crime, drama",175,Usa,R,Francis Ford Coppola,246120974,1572674,9.2
tt0468569,The Dark Knight,2008,"action, crime, drama",152,Us,PG-13,Christopher Nolan,1005455211,2241615,9.0
tt0071562,The Godfather: Part II,1975,"crime, drama",220,Usa,R,Francis Ford Coppola,48035783,1098714,9.038144329896907
tt0110912,Pulp Fiction,1994,"crime, drama",129,Usa,R,Quentin Tarantino,222831817,1780147,8.9
tt0167260,The Lord of the Rings: The Return of the King,1995,"action, adventure, drama",201,New Zealand,PG-13,Peter Jackson,1142271098,1604280,8.9
tt0108052,Schindler's List,1994,"biography, drama, history",129,Usa,R,Steven Spielberg,322287794,1183248,8.9
tt0050083,12 Angry Men,1957,"crime, drama",96,Usa,Not Rated,Sidney Lumet,576,668473,8.9
tt1375666,Inception,2010,"action, adventure, sci-fi",148,Usa,PG-13,Christopher Nolan,869784991,2002816,9.038144329896907
tt0137523,Fight Club,1995,drama,129,Uk,R,David Fincher,101218804,1807440,8.8
tt0109830,Forrest Gump,1994,"drama, romance",142,Usa,PG-13,Robert Zemeckis,678229452,1755490,88.0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2002,"action, adventure, drama",178,New Zesland,PG-13,Peter Jackson,887934303,1619920,8.8
tt0060196,"Il buono, il brutto, il cattivo",1966,western,161,Italy,Approved,Sergio Leone,25252481,672499,8.8
tt0133093,The Matrix,1999,"action, sci-fi",116,Usa,R,"Lana Wachowski, Lilly Wachowski",465718588,1632315,8.7
tt0167261,The Lord of the Rings: The Two Towers,1995,"action, adventure, drama",179,New Zeland,PG-13,Peter Jackson,951227416,1449778,9.038144329896907
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,"action, adventure, fantasy",129,Usa,PG,Irvin Kershner,549265501,1132073,8.7
tt0099685,Goodfellas,1990,"biography, crime, drama",146,Usa,R,Martin Scorsese,46879633,991505,8.7
tt0073486,One Flew Over the Cuckoo's Nest,1976,drama,129,Usa,R,Milos Forman,108997629,891071,8.7
tt0816692,Interstellar,2014,"adventure, drama, sci-fi",169,Usa,PG-13,Christopher Nolan,696742056,1449256,8.6
tt0114369,Se7en,1995,"crime, drama, mystery",127,Usa,R,David Fincher,327333559,1402015,8.6
tt0102926,The Silence of the Lambs,1991,"crime, drama, thriller",118,Usa,R,Jonathan Demme,272753884,1234134,8.6
tt0076759,Star Wars,1977,"action, adventure, fantasy",121,Usa,PG,George Lucas,775768912,1204107,8.6
tt0120815,Saving Private Ryan,1998,"drama, war",169,Usa,R,Steven Spielberg,482349603,1203825,8.6
tt0120689,The Green Mile,2000,"crime, drama, fantasy",189,Us.,R,Frank Darabont,286801374,1112336,8.6
tt0317248,Cidade de Deus,2003,"crime, drama",130,Brazil,R,"Fernando Meirelles, Kã¡Tia Lund",30680793,685856,8.6
tt0245429,Sen to Chihiro no kamikakushi,2003,"animation, adventure, family",125,Japan,PG,Hayao Miyazaki,355467056,626693,8.6
tt0118799,La vita B9 bella,1997,"comedy, drama, romance",116,Italy1,Not Rated,Roberto Benigni,230098753,605648,8.6
tt6751668,Gisaengchung,2019,"comedy, drama, thriller",132,South Korea,Not Rated,Bong Joon Ho,257604912,470931,8.6
tt0038650,It's a Wonderful Life,1948,"drama, family, fantasy",130,Usa,PG,Frank Capra,6130720,388310,8.6
tt0047478,Shichinin no samurai,1955,"action, adventure, drama",207,Japan,Unrated,Akira Kurosawa,322773,307958,8.6
tt0172495,Gladiator,2000,"action, adventure, drama",155,Usa,R,Ridley Scott,465361176,1308193,8.5
tt0407887,The Departed,2006,"crime, drama, thriller",151,Usa,R,Martin Scorsese,291465034,1159703,8.5
tt0482571,The Prestige,2006,"drama, mystery, sci-fi",130,Uk,PG-13,Christopher Nolan,109676311,1155723,8.5
tt0088763,Back to the Future,1985,"adventure, comedy, sci-fi",116,Usa,PG,Robert Zemeckis,388774684,1027330,8.5
tt0120586,American History X,1999,drama,119,Usa,R,Tony Kaye,23875127,1014218,8.5
tt0110413,Léon,1995,"action, crime, drama",110,France,Not Rated,Luc Besson,19552639,1007598,8.5
tt0103064,Terminator 2: Judgment Day,1991,"action, sci-fi",137,Usa,R,James Cameron,520884847,974970,8.4
tt0114814,The Usual Suspects,1995,"crime, mystery, thriller",106,Usa,R,Bryan Singer,23341568,968947,8.4
tt0110357,The Lion King,1994,"animation, adventure, drama",88,Usa,G,"Roger Allers, Rob Minkoff",968511805,917248,8.4
tt7286456,Joker,2019,"crime, drama, thriller",122,Usa,Not Rated,Todd Phillips,1074251311,855097,8.4
tt1675434,Intouchables,2012,"biography, comedy, drama",112,France,Not Rated,"Olivier Nakache, ÉRic Toledano",426588510,736691,8.4
tt0253474,The Pianist,2002,"biography, drama, music",150,Uk,R,Roman Polanski,120072577,707942,8.4
tt2582802,Whiplash,2015,"drama, music",106,Usa,R,Damien Chazelle,48983260,690732,8.4
tt0054215,Psycho,1960,"horror, mystery, thriller",109,Usa,R,Alfred Hitchcock,32008644,586765,8.3
tt0034583,Casablanca,1995,"drama, romance, war",102,Usa,PG,Michael Curtiz,4374761,509953,8.3
tt0064116,C'era una volta il West,1968,western,165,Italy,PG-13,Sergio Leone,112911,295220,8.3
tt0095327,Hotaru no haka,2015,"animation, drama, war",89,Japan,Not Rated,Isao Takahata,516962,225438,8.3
tt0095765,Nuovo Cinema Paradiso,1988,drama,155,Italy,Not Rated,Giuseppe Tornatore,13826605,223050,8.3
tt0027977,Modern Times,1937,"comedy, drama, family",87,Usa,G,Charles Chaplin,457688,211250,8.3
tt1345836,The Dark Knight Rises,2012,"action, adventure",164,Uk,PG-13,Christopher Nolan,1081133191,1480582,8.3
tt1853728,Django Unchained,2013,"drama, western",165,Usa,R,Quentin Tarantino,425368238,1317856,8.3
tt0209144,Memento,2001,"mystery, thriller",113,Usa,R,Christopher Nolan,39970386,1098879,8.2
tt0910970,WALLÂ·E,2008,"animation, adventure, family",98,Usa,G,Andrew Stanton,521311860,974734,8.2
tt0081505,The Shining,1980,"drama, horror",146,Uk,R,Stanley Kubrick,46520613,869480,8.2
tt0082971,Raiders of the Lost Ark,1981,"action, adventure",115,Usa,PG,Steven Spielberg,390133212,865510,8.2
tt4154756,Avengers: Infinity War,2018,"action, adventure, sci-fi",149,Usa,Not Rated,"Anthony Russo, Joe Russo",2048359754,796486,8.2
tt0078748,Alien,1979,"horror, sci-fi",117,Uk,R,Ridley Scott,108110316,768874,8.2
tt4154796,Avengers: Endgame,2019,"action, adventure, drama",181,Usa,Not Rated,"Anthony Russo, Joe Russo",2797800564,754786,8.2
tt0078788,Apocalypse Now,1979,"drama, mystery, war",147,Usa,R,Francis Ford Coppola,91968688,591251,8.2
tt0364569,Oldeuboi,2005,"action, drama, mystery",120,South Korea,R,Chan-Wook Park,15002116,501082,8.1
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,comedy,95,Uk,PG,Stanley Kubrick,9443876,441115,8.1
tt0047396,Rear Window,1955,"mystery, thriller",112,Usa,Not Rated,Alfred Hitchcock,37032034,432390,8.1
tt2380307,Coco,2017,"animation, adventure, family",105,Usa,Not Rated,"Lee Unkrich, Adrian Molina",807083670,352455,8.1
tt0405094,Das Leben der Anderen,2007,"drama, mystery, thriller",137,Germany,R,Florian Henckel Von Donnersmarck,77356942,349642,8.1
tt4633694,Spider-Man: Into the Spider-Verse,2018,"animation, action, adventure",117,Usa,Not Rated,"Bob Persichetti, Peter Ramsey",375540831,335892,8.1
tt1187043,3 Idiots,2009,"comedy, drama",170,India,Not Rated,Rajkumar Hirani,60262836,332217,8.1
tt0119698,Mononoke-hime,2000,"animation, adventure, fantasy",134,Japan,PG-13,Hayao Miyazaki,169785629,331045,8.0
tt0087843,Once Upon a Time in America,1984,"crime, drama",229,Usa,R,Sergio Leone,5472914,302317,8.0
tt0032553,The Great Dictator,1945,"comedy, drama, war",125,Usa,Not Rated,Charles Chaplin,969879,197381,8.0
tt0043014,Sunset Blvd.,1951,"drama, film-noir",110,Usa,Not Rated,Billy Wilder,299645,195789,8.0
tt0361748,Inglourious Basterds,2009,"adventure, drama, war",153,Germany,R,Quentin Tarantino,321455689,1229958,8.0
tt0169547,American Beauty,2000,drama,122,Usa,R,Sam Mendes,356296601,1049009,8.0
tt0112573,Braveheart,1995,"biography, drama, history",178,Usa,R,Mel Gibson,213216216,941683,7.9
